Time,Altitude,Altitude_BMP390,Temperature_BMP390,Acceleration_X_BNO085,Acceleration_Y_BNO085,Acceleration_Z_BNO085,Magnetic_X_BNO085,Magnetic_Y_BNO085,Magnetic_Z_BNO085,Gyro_X_BNO085,Gyro_Y_BNO085,Gyro_Z_BNO085,Quaternion_W_BNO085,Quaternion_X_BNO085,Quaternion_Y_BNO085,Quaternion_Z_BNO085,Acceleration_X_ICM20649,Acceleration_Y_ICM20649,Acceleration_Z_ICM20649,Gyro_X_ICM20649,Gyro_Y_ICM20649,Gyro_Z_ICM20649
841.7932308,60.58980363,155.5760275,8.130750066,1.3828125,0.9296875,79.36328125,15.375,24.4375,-33.75,0.03515625,0.087890625,-0.166015625,0.06384277344,-0.003845214844,0.2568359375,0.9643554688,-1.513135449,-0.009576806641,95.86383447,-0.04556508554,0.0604869849,-0.1681378303
841.8265641,64.65829162,156.7645539,8.126172253,1.5390625,0.9296875,79.36328125,15.375,25.1875,-34.8125,0.03515625,0.087890625,-0.166015625,0.06402587891,-0.001770019531,0.2531738281,0.9652709961,-1.493981836,-0.4213794922,100.1159366,-0.1164441075,0.07381010933,-0.1963828541
841.8598974,68.90498619,158.0373327,8.126172253,1.57421875,1.046875,79.359375,15.375,25.1875,-34.8125,0.0625,0.146484375,-0.212890625,0.06451416016,0.002014160156,0.2486572266,0.9664306641,-0.8906430176,-0.6703764648,95.72975918,-0.140692194,0.09939050823,-0.2462113394
841.8932307,72.46577862,158.946553,8.121594437,1.69140625,1.08203125,79.36328125,14.1875,24.4375,-33.375,0.107421875,0.19921875,-0.2890625,0.06451416016,0.002014160156,0.2486572266,0.9664306641,-1.244984863,0.1819593262,98.73687646,-0.1742664675,0.1566799433,-0.2987044497
841.926564,76.30964397,160.1219026,8.117016617,1.95703125,1.0078125,79.359375,15.375,24.8125,-34.5,0.107421875,0.19921875,-0.2890625,0.06567382813,0.007507324219,0.2424926758,0.9678955078,0.7661445312,0.4596867188,94.69546406,-0.1716018426,0.1753323175,-0.3213537612
841.9598973,82.16797102,162.2203856,8.121594437,2.2265625,0.77734375,79.359375,15.375,24.8125,-34.5,0.13671875,0.224609375,-0.341796875,0.06756591797,0.01409912109,0.2350463867,0.969543457,-0.4118026855,0.01915361328,96.32352119,-0.1945176166,0.1771975549,-0.3669188467
841.9932306,87.63492695,163.7599928,8.121594437,2.49609375,0.77734375,79.359375,16.4375,24.5,-33,0.16796875,0.2265625,-0.44140625,0.06756591797,0.01409912109,0.2350463867,0.969543457,-1.417367383,-0.4118026855,96.46717329,-0.1899877543,0.1857243545,-0.4577825553
842.0265639,95.4098801,166.4893721,8.126172253,2.87890625,0.85546875,79.36328125,16.5,26.625,-33.0625,0.16796875,0.2265625,-0.44140625,0.06994628906,0.02111816406,0.2253417969,0.9715576172,-1.388636963,0.7948749512,97.00347446,-0.1891883669,0.2038438037,-0.5766248252
842.0598972,102.557308,168.4913593,8.135327876,2.87890625,0.85546875,79.36328125,16.5,26.625,-33.0625,0.181640625,0.216796875,-0.58203125,0.07275390625,0.02844238281,0.2124633789,0.9740600586,-1.762132422,1.551442676,96.05537061,-0.1718683051,0.221963253,-0.6554977218
842.0932305,108.3597754,169.9609032,8.126172253,2.9921875,0.73828125,79.36328125,17.25,25.25,-32.6875,0.1953125,0.1953125,-0.71484375,0.07275390625,0.02844238281,0.2124633789,0.9740600586,-1.857900488,1.130063184,95.82552725,-0.1550811683,0.2296906651,-0.7418315681
842.1265638,113.9668429,171.5860761,8.126172253,3.3359375,0.39453125,79.36328125,18.375,27.4375,-34.1875,0.1953125,0.1953125,-0.71484375,0.07580566406,0.03558349609,0.196472168,0.9769287109,-0.3064578125,0.01915361328,96.05537061,-0.1425574314,0.2240949529,-0.790327741
842.1598971,121.0311284,173.9532282,8.126172253,3.3359375,0.01171875,79.359375,18.375,27.4375,-34.1875,0.1953125,0.1640625,-0.791015625,0.07916259766,0.04235839844,0.1775512695,0.9799804688,-0.7565677246,0.4213794922,97.54935244,-0.1119142452,0.2251608028,-0.8588086006
842.1932304,129.8062126,176.8805503,8.130750066,3.60546875,0.0859375,79.359375,16.125,27,-32.375,0.185546875,0.125,-0.9140625,0.07916259766,0.04235839844,0.1775512695,0.9799804688,0.7565677246,0.8331821777,95.10726675,-0.06181929734,0.1923859167,-0.9499387717
842.2265637,137.5226285,178.9821116,8.121594437,3.875,-0.140625,79.359375,16.5,27.375,-34.5625,0.185546875,0.125,-0.9140625,0.08215332031,0.04827880859,0.1560058594,0.9831542969,1.302445703,2.547430566,95.20303481,-0.04210107319,0.1891883669,-1.018686094
842.259897,147.2413372,182.2489265,8.117016617,4.1796875,-0.37109375,79.359375,16.5,27.375,-34.5625,0.150390625,0.072265625,-1.01953125,0.08459472656,0.05310058594,0.131652832,0.9862670898,1.972822168,4.884171387,97.73131177,-0.01039203705,0.1646738179,-1.094094978
842.2932303,155.4877093,184.4361276,8.126172253,4.6796875,-0.140625,79.36328125,15.5,28.4375,-33.4375,0.125,0,-1.185546875,0.08459472656,0.05310058594,0.131652832,0.9862670898,1.273715283,4.491522314,97.14712656,0.08686677127,0.1380275691,-1.242781047
842.3265636,164.6779784,187.3530915,8.126172253,5.0625,-0.06640625,79.359375,15.5625,30.9375,-33.5,0.125,0,-1.185546875,0.08624267578,0.05651855469,0.1036376953,0.9892578125,-0.3926490723,2.53785376,96.43844287,0.1308330819,0.1574793307,-1.339773392
